2018-01-18 10:50:25 INFO  Test11:(57) - User was logged in successfully
2018-01-18 11:04:45 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198726 and Password not correct- nedved1987
2018-01-18 11:04:46 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198727 and Password not correct- nedved1988
2018-01-18 11:04:46 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198728 and Password not correct- nedved1989
2018-01-18 11:04:46 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198729 and Password not correct- nedved1990
2018-01-18 11:04:46 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198730 and Password not correct- nedved1991
2018-01-18 11:04:47 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198731 and Password not correct- nedved1992
2018-01-18 11:04:47 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198732 and Password not correct- nedved1993
2018-01-18 11:04:47 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198733 and Password not correct- nedved1994
2018-01-18 11:04:47 INFO  Test22:(81) - File Authentication passed successfully with not correct Login- nedved198734 and Password not correct- nedved1995
2018-01-18 11:04:49 INFO  Test22:(103) - Browser closed
2018-01-18 11:07:12 INFO  Test88:(55) - Email email was sent successfully with data from table test_DAO
2018-01-18 11:07:14 INFO  Test88:(60) - Browser closed
